Objective	ID	Name
Find potential digital evidence sources	T1005	Crime scene searching
Find potential digital evidence sources	T1006	Digital sniffer dogs
Find potential digital evidence sources	T1009	Locate cloud account identifiers
Find potential digital evidence sources	T1008	Profiling network traffic
Find potential digital evidence sources	T1007	SyncTriage-based approach
Prioritize digital evidence sources	T1001	Triage
Preserve digital evidence	T1011	Store seized devices in evidence bags
Preserve digital evidence	T1010	Place device in faraday environment
Preserve digital evidence	T1012	Hardware write blockers
Preserve digital evidence	T1013	Software write blockers
Preserve digital evidence	T1110	Preserving reference data
Acquire data	T1112	Physical disk identification and removal
Acquire data	T1113	Access internal storage via bootable environment
Acquire data	T1111	Recording system clock offset
Acquire data	T1028	Chip-off
Acquire data	T1029	Data read from desoldered eMMC
Acquire data	T1030	Data read from unmanaged NAND
Acquire data	T1002	Disk imaging
Acquire data	T1003	Memory imaging
Acquire data	T1114	Memory Acquisition via Cold Boot Attack
Acquire data	T1016	Live data collection
Acquire data	T1020	Mobile file system extraction
Acquire data	T1022	Mobile device screenshot based capture
Acquire data	T1023	Cloud data collection to access data via a live web page using credentials
Acquire data	T1024	Cloud data collection via submission of request to service provider
Acquire data	T1018	Remote data collection
Acquire data	T1017	Network packet capture
Acquire data	T1104	Collect data using open source intelligence
Acquire data	T1004	Selective data acquisition
Acquire data	T1015	Privacy preserving selective extraction
Acquire data	T1025	Writing data to a forensic image format
Acquire data	T1026	Writing data to standard archive format
Acquire data	T1157	Extract device data using exposed service
Acquire data	T1019	Mobile backup extraction (s)
Acquire data	T1159	Extract mobile data via deployed agent
Acquire data	T1160	Collect data with 'cloud backup restore' approach
Acquire data	T1162	Read data from a device via In-System Programming (ISP)
Acquire data	T1027	Data read using JTAG (s)
Acquire data	T1163	Automated screenshot-based capture of a mobile device
Gain access	T1039	App downgrade
Gain access	T1034	Brute force attack
Gain access	T1035	Dictionary attack
Gain access	T1033	Extraction of credential from an accessible device
Gain access	T1031	Key recovery from memory
Gain access	T1041	Pin2Pwn
Gain access	T1038	Rainbow table-based password attack
Gain access	T1032	Side channel
Gain access	T1036	Smudge attack
Gain access	T1037	Obtain password from the device owner
Gain access	T1040	Use mobile device exploit
Gain access	T1158	Configure device to enable a service needed for data extraction
Read data from digital evidence storage formats	T1045	Decode standard archive format
Read data from digital evidence storage formats	T1042	Disk image hash verification
Read data from digital evidence storage formats	T1043	Decode forensic image format
Read data from digital evidence storage formats	T1044	Mobile backup decoding
Read data from digital evidence storage formats	T1102	Decode data from image from unmanaged NAND
Reduce data under consideration	T1047	Hash matching (reduce)
Reduce data under consideration	T1048	Privacy protection via partial processing
Reduce data under consideration	T1046	Privileged material protection
Access partitions, volumes and file systems data	T1062	Decryption of encrypted file systems/volumes
Access partitions, volumes and file systems data	T1061	Recover non-allocated files
Access partitions, volumes and file systems data	T1150	Recover non-allocated files using residual file metadata (s)
Access partitions, volumes and file systems data	T1064	File carving (s)
Access partitions, volumes and file systems data	T1063	Identify file types
Access partitions, volumes and file systems data	T1059	Identify partitions
Access partitions, volumes and file systems data	T1060	Enumerate allocated files and folders
Extract artifacts stored by the operating system	T1067	Cloud synchronisation feature examination (OS)
Extract artifacts stored by the operating system	T1065	Content indexer examination (OS)
Extract artifacts stored by the operating system	T1097	Installed programs identification (OS)
Extract artifacts stored by the operating system	T1066	Log file examination (OS)
Extract artifacts stored by the operating system	T1068	Recently used file identification (OS)
Extract artifacts stored by the operating system	T1096	Run programs identification (OS)
Extract artifacts stored by the operating system	T1098	User account analysis (OS)
Extract artifacts stored by the operating system	T1083	Memory examination (OS-level)
Extract artifacts stored by the operating system	T1116	Determine connected devices
Extract artifacts stored by the operating system	T1149	File versioning feature examination
Extract artifacts stored by applications	T1069	Browser examination
Extract artifacts stored by applications	T1137	Browser history examination (s)
Extract artifacts stored by applications	T1138	Browser cache examination (s)
Extract artifacts stored by applications	T1139	Browser session examination (s)
Extract artifacts stored by applications	T1140	Browser autofill examination (s)
Extract artifacts stored by applications	T1141	Browser bookmarks examination (s)
Extract artifacts stored by applications	T1142	Browser downloads examination (s)
Extract artifacts stored by applications	T1143	Browser configuration examination (s)
Extract artifacts stored by applications	T1144	Browser profile enumeration (s)
Extract artifacts stored by applications	T1145	Browser extensions examination (s)
Extract artifacts stored by applications	T1146	Browser synchronization feature examination (s)
Extract artifacts stored by applications	T1147	Browser cookie examination (s)
Extract artifacts stored by applications	T1148	Browser web storage examination (s)
Extract artifacts stored by applications	T1073	Calendar app examination
Extract artifacts stored by applications	T1072	Chat app examination
Extract artifacts stored by applications	T1078	Cloud sync app examination
Extract artifacts stored by applications	T1070	Email examination
Extract artifacts stored by applications	T1075	Maps/travel app examination
Extract artifacts stored by applications	T1077	Photos app examination
Extract artifacts stored by applications	T1074	Social network app examination
Extract artifacts stored by applications	T1105	Memory examination (application-level)
Extract artifacts stored by applications	T1107	Health/Fitness app examination
Extract artifacts stored by applications	T1108	Reminders app examination
Extract artifacts stored by applications	T1109	Payment app examination
Extract artifacts stored by applications	T1133	AI companion app examination
Extract artifacts, or content of specific types	T1021	Configuration file examination
Extract artifacts, or content of specific types	T1071	Database examination
